# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = test_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 608020736
# output
#   file = output4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y,x.1,x.2,x.3,Z.1.1,Z.2.1,Z.3.1,Z.4.1,Z.1.2,Z.2.2,Z.3.2,Z.4.2,Z.1.3,Z.2.3,Z.3.3,Z.4.3,Z.1.4,Z.2.4,Z.3.4,Z.4.4,Z.1.5,Z.2.5,Z.3.5,Z.4.5,Z.1.6,Z.2.6,Z.3.6,Z.4.6
# Adaptation terminated
# Step size = 0.607588
# Diagonal elements of inverse mass matrix:
# 1.0844, 1.0143, 1.08691, 0.841492, 0.865194, 1.08498, 0.919794, 1.1324, 3.79661, 4.9143, 3.78975, 3.8196, 8.58022, 7.38354, 9.01143, 7.7286, 17.6833, 14.1187, 17.3937, 16.2381, 24.4524, 25.0247, 26.8905, 26.0358, 39.5771, 34.5756, 39.335, 40.052
-12.8631,0.987035,0.607588,3,7,0,24.9274,0.97455,1.24914,3.24187,2.17318,1.87512,2.5796,1.39331,4.32515,3.6968,1.82524,2.23224,3.12418,0.865098,1.51762,3.47133,7.42591,-3.1446,-0.880124,1.00852,1.14496,9.03094,-3.00279,9.69005,5.38726,0.438241,15.0337,7.9173,12.4451
-16.5514,0.747153,0.607588,3,7,0,29.4379,-1.79603,-0.27552,2.86332,2.28674,0.565246,2.8871,2.54809,3.84245,1.15211,8.21272,3.75355,5.40705,3.4428,2.86464,8.00115,3.68767,6.40322,7.94394,8.4961,6.34775,-1.44731,0.0975736,-2.5635,-1.53433,7.69455,6.10748,4.56695,-2.2013
-20.6724,0.848178,0.607588,3,7,0,35.6437,1.89095,0.0368732,1.32724,2.61357,1.3584,1.17817,3.58864,6.23404,1.4692,5.30336,3.19334,4.18415,-2.62949,5.06708,-2.42886,-0.000857372,2.66032,-4.73146,0.925859,5.07504,-0.254449,6.27707,20.8526,5.00086,9.93981,1.61957,6.08223,0.614207
-17.2953,0.991933,0.607588,3,7,0,33.1409,-1.02271,0.417001,3.79076,3.65999,2.51125,0.820775,2.78671,3.11462,3.28788,0.62629,5.89807,2.72386,1.69871,4.49407,4.62545,1.04339,-2.25845,1.12592,2.80467,-1.02611,6.49401,-2.28402,-9.99416,11.8496,-9.23009,-0.660976,-5.89098,4.56786
-7.80552,0.991152,0.607588,3,7,0,24.8962,0.0663748,1.11037,1.27264,3.19042,1.23453,0.368942,2.50491,4.17248,2.32986,0.755904,0.853983,4.02803,2.31049,-3.16562,4.22853,3.01534,0.769169,3.39166,4.10558,8.84126,-2.54206,1.03713,11.0452,-1.20029,2.96515,6.60926,1.98378,4.96391
-16.7078,0.558855,0.607588,3,7,0,24.5927,0.564273,1.48773,0.874778,1.63116,-0.0747159,1.02048,4.71184,5.33659,-0.996612,1.30921,1.78395,6.56149,0.911907,8.60824,5.71946,6.41951,3.831,0.720348,-2.51319,-2.61865,11.4869,0.215633,3.73341,11.6742,-2.73853,2.9471,4.15529,-1.50662
-16.934,0.995832,0.607588,3,7,0,24.6933,-0.881501,0.576963,3.77519,4.07296,2.1382,2.92022,1.28662,3.32254,2.06217,1.32414,3.83457,1.69056,1.88516,-4.79117,0.82696,1.39414,1.85494,4.44151,11.8193,9.4772,-9.49234,1.92236,0.698936,0.683286,6.24793,-3.5585,-2.24554,5.70202
