# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = test_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 608015987
# output
#   file = output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y,x.1,x.2,x.3,Z.1.1,Z.2.1,Z.3.1,Z.4.1,Z.1.2,Z.2.2,Z.3.2,Z.4.2,Z.1.3,Z.2.3,Z.3.3,Z.4.3,Z.1.4,Z.2.4,Z.3.4,Z.4.4,Z.1.5,Z.2.5,Z.3.5,Z.4.5,Z.1.6,Z.2.6,Z.3.6,Z.4.6
# Adaptation terminated
# Step size = 0.579502
# Diagonal elements of inverse mass matrix:
# 1.07346, 1.17869, 0.955848, 0.982644, 0.920457, 0.974176, 0.957061, 0.900393, 4.06218, 3.48524, 3.99413, 4.71585, 7.2321, 7.93451, 9.19589, 9.40808, 15.5791, 14.7897, 15.5024, 16.2132, 26.1717, 28.7234, 21.3919, 22.9581, 42.5134, 32.2221, 38.26, 36.8416
-9.81798,0.938967,0.579502,3,7,0,23.7948,0.497014,1.89881,2.6614,3.54171,0.423781,1.02921,3.18344,4.89186,-0.0879416,1.25305,-0.0635802,5.42917,1.55516,-0.424757,1.97897,7.44535,-2.12382,0.076418,2.47944,3.70346,0.616374,-1.19111,12.2992,11.8938,10.0073,3.68605,2.49852,-1.2446
-7.33195,0.850154,0.579502,3,7,0,22.5626,1.45488,1.45515,2.8809,2.88846,0.707681,0.603285,2.32288,3.77947,3.00003,3.65088,5.49318,2.7391,0.621289,1.81382,4.31877,2.60965,0.0317321,5.33193,2.61077,3.37963,-5.29407,0.400179,1.90817,-1.55124,0.682839,-0.43251,-2.78558,2.12825
-11.684,0.702429,0.579502,3,7,0,23.5571,-1.776,0.509011,1.99915,3.67961,1.33914,1.63305,2.47924,4.77135,-2.1007,4.93519,2.25989,5.35185,4.64025,1.20436,4.99571,3.60264,3.68309,-4.55191,5.4549,2.86509,6.33526,5.30126,9.277,-0.214484,3.66102,6.57968,7.82542,13.2249
-11.2038,0.813725,0.579502,3,7,0,25.6607,1.67319,1.58005,1.74929,2.29175,0.619175,2.18902,3.31368,3.6532,4.33354,-0.930015,4.03062,2.68888,-0.178881,1.64408,0.361665,4.17512,-0.768976,8.07721,0.376166,4.99269,-4.78061,-1.31974,-5.70741,9.47591,-0.52696,1.73249,-1.3099,-4.80718
-20.474,0.577549,0.579502,3,7,0,31.0755,1.26462,1.09068,1.48345,1.28743,1.69374,1.05283,3.72842,3.52935,-5.11117,1.05084,1.91696,8.35501,-1.10243,3.93498,9.73722,2.1076,9.00647,8.47648,4.67138,9.66069,3.8808,1.06613,-0.448803,8.77867,4.38309,9.88638,6.33603,1.68186
-21.9393,0.908408,0.579502,3,7,0,41.5721,-1.12374,0.890798,2.11844,4.41684,0.217741,2.79688,2.12528,4.35185,6.89677,2.14998,4.9686,-0.231888,-1.47447,-0.636199,-3.97764,5.79626,-6.82719,-3.30794,-0.567125,-1.17,-2.62869,3.02515,6.83159,-5.66828,-2.24884,-8.52292,-0.446665,7.94013
-25.3421,0.944086,0.579502,3,7,0,40.0136,1.42648,0.932301,3.17648,1.80066,2.17067,1.08477,2.49384,4.65905,-3.96838,5.09801,-0.197319,6.56744,1.71889,4.08766,12.3638,-2.43292,5.54954,10.0562,6.97539,5.92275,0.747633,0.825003,-4.99645,5.46967,2.66702,10.3655,1.62725,-7.88413
-20.3672,0.962005,0.579502,3,7,0,40.0342,-1.22886,0.337713,0.796846,4.2792,-0.0619022,3.27499,3.67515,3.5298,4.06449,-1.03748,6.13871,4.98755,0.279994,0.0451675,-5.26611,7.23126,-2.84557,-5.5855,-0.157589,-0.488272,0.604539,-1.48053,11.6038,-0.769516,0.762254,-5.68149,7.09944,14.0476
-8.03675,0.983699,0.579502,3,7,0,27.4293,-0.547731,0.482049,1.39964,3.66886,0.353261,3.10049,4.21329,4.21118,3.06739,3.71614,3.66911,5.03365,0.796257,-3.36184,0.685801,3.31187,1.09802,-0.250976,6.08572,5.70447,3.60871,1.33536,3.31199,8.52452,3.86095,3.62479,12.1323,9.00917
-8.03769,0.812837,0.579502,3,7,0,20.958,0.731229,1.65326,2.50461,2.19716,1.91882,1.25348,1.92102,3.85707,-0.837477,-0.187918,1.68654,2.72125,1.13274,6.94295,1.75156,4.3134,0.966191,3.45345,-0.769122,2.98632,0.777037,7.47118,3.06567,0.912358,3.84198,-0.52247,-6.10297,-0.152345
-8.57728,0.754765,0.579502,3,7,0,22.7359,-0.903037,0.770296,1.37329,3.13849,0.0957753,3.18851,4.10345,3.98622,2.1204,4.02996,4.6488,3.14552,0.934329,-2.13383,5.77357,3.19221,2.53866,1.38128,5.20788,3.5488,5.4134,1.4885,2.31653,8.43071,-2.41247,4.88341,15.4732,7.9566
-17.6727,0.669028,0.579502,3,7,0,26.8714,-0.304653,-0.526649,3.10707,1.21158,-0.751896,2.86368,2.88136,4.64837,5.01497,0.0508279,4.21733,3.79442,-5.22803,1.71275,3.74097,1.2509,2.33795,-1.59832,-1.04922,0.522232,2.79756,4.78157,-5.45868,8.24068,7.32547,10.105,11.0926,12.8804
-12.9675,1,0.579502,3,7,0,28.9799,-0.0723086,2.47897,3.71502,4.34521,-0.308936,2.02676,4.11467,5.24044,1.65394,0.425115,4.82347,5.31669,0.98562,-3.90368,1.45088,4.68034,1.49311,-1.13057,1.88109,6.08619,2.7715,3.40709,7.0664,2.18274,-1.50776,0.259256,3.95192,-10.7625
-11.2896,0.995941,0.579502,3,7,0,23.6414,1.55537,1.92547,1.23846,3.03695,0.749364,1.62048,0.765933,3.19944,-0.922471,3.32122,0.426733,5.36867,1.32927,1.67567,2.77541,2.69883,5.90836,-0.264503,3.87783,4.97046,4.22482,7.4124,-3.96252,2.99062,-0.708237,-4.13023,-5.58299,8.28342
